data,adset_id,adset_name,campaign_id,leads_entrada,cliques_ad,threads,leads_qualificados,leads_avaliados,receita_estimada,sessoes,leads_com_sessao
2026-07-22,120247488854820278,[AFS] [F3] [LERATO MAHLANGU] V6,120247488474000278,32,32,26,40,96,4.62,0,0
2026-07-22,120247488930200278,[AFS] [F3] [NOURBESE ACHEBE] V1,120247488930090278,20,20,18,14,60,2.16,0,0
2026-07-22,120247488968980278,[AFS] [F3] [NOURBESE ACHEBE] V2,120247488930090278,26,26,24,43,84,3.34,0,0
2026-07-22,120247488989090278,[AFS] [F3] [NOURBESE ACHEBE] V3,120247488930090278,24,24,23,30,69,2.98,0,0
2026-07-22,120247489010590278,[AFS] [F3] [NOURBESE ACHEBE] V4,120247488930090278,22,22,20,15,63,1.03,0,0
2026-07-22,120247489016960278,[AFS] [F3] [NOURBESE ACHEBE] V5,120247488930090278,38,38,34,42,114,5.45,0,0
2026-07-22,120247489033080278,[AFS] [F3] [NOURBESE ACHEBE] V6,120247488930090278,20,20,17,18,54,2.20,0,0
2026-07-22,120247489048840278,[AFS] [F3] [MORENIKE AJAYI] V1,120247489048850278,18,18,18,18,60,2.13,0,0
2026-07-22,120247489055990278,[AFS] [F3] [NONHLANHLA CELE] V1,120247489056040278,15,15,15,20,45,2.58,0,0
2026-07-22,120247489113490278,[AFS] [F3] [NONHLANHLA CELE] V2,120247489056040278,39,39,36,33,120,4.24,0,0
2026-07-22,120247489137090278,[AFS] [F3] [NONHLANHLA CELE] V3,120247489056040278,22,22,18,19,75,1.49,0,0
2026-07-22,120247489142030278,[AFS] [F3] [MORENIKE AJAYI] V2,120247489048850278,17,17,17,5,54,1.58,0,0
2026-07-22,120247489148840278,[AFS] [F3] [MORENIKE AJAYI] V3,120247489048850278,24,24,24,21,72,2.45,0,0
2026-07-22,120247489149860278,[AFS] [F3] [NONHLANHLA CELE] V4,120247489056040278,14,14,13,23,42,1.84,0,0
2026-07-22,120247489152530278,[AFS] [F3] [MORENIKE AJAYI] V4,120247489048850278,23,23,23,14,78,1.73,0,0
2026-07-22,120247489155770278,[AFS] [F3] [MORENIKE AJAYI] V5,120247489048850278,19,19,19,1,63,0.24,0,0
2026-07-22,120247489155880278,[AFS] [F3] [NONHLANHLA CELE] V5,120247489056040278,26,26,23,24,75,2.78,0,0
2026-07-22,120247489160390278,[AFS] [F3] [MORENIKE AJAYI] V6,120247489048850278,23,23,23,19,69,2.09,0,0
2026-07-22,120247489160520278,[AFS] [F3] [NONHLANHLA CELE] V6,120247489056040278,104,104,93,113,273,9.94,0,0
2026-07-22,120247490527940278,[AFS] [F3] [SAIDA HAMISI] V1,120247490527990278,1,1,1,0,6,0.00,0,0
2026-07-22,120247490558800278,[AFS] [F3] [SAIDA HAMISI] V2,120247490527990278,1,1,1,0,3,0.00,0,0
2026-07-22,120247490572030278,[AFS] [F3] [SAIDA HAMISI] V3,120247490527990278,1,1,1,3,6,0.72,0,0
2026-07-22,120247490579700278,[AFS] [F3] [SAIDA HAMISI] V5,120247490527990278,2,2,2,6,6,0.42,0,0
2026-07-22,120247490584240278,[AFS] [F3] [SAIDA HAMISI] V6,120247490527990278,2,2,2,3,9,0.65,0,0
2026-07-22,120247490618490278,[AFS] [F3] [YETUNDE ALABI] V2,120247490598050278,4,4,4,3,12,0.40,0,0
2026-07-22,120247490620890278,[AFS] [F3] [YETUNDE ALABI] V3,120247490598050278,4,4,4,9,21,1.06,0,0
2026-07-22,120247490623620278,[AFS] [F3] [YETUNDE ALABI] V4,120247490598050278,3,3,3,6,12,0.25,0,0
2026-07-22,120247490626940278,[AFS] [F3] [YETUNDE ALABI] V5,120247490598050278,1,1,1,3,6,0.26,0,0
2026-07-22,120247490631910278,,,0,0,0,3,3,0.14,0,0
2026-07-22,120247490644830278,[AFS] [F3] [NALEDI MOLEFE] V1,120247490644850278,1,1,1,0,0,0,0,0
2026-07-22,120247490686120278,[AFS] [F3] [NALEDI MOLEFE] V2,120247490644850278,4,4,4,0,9,0.10,0,0
2026-07-22,120247490688600278,[AFS] [F3] [NALEDI MOLEFE] V3,120247490644850278,2,2,2,2,9,0.19,0,0
2026-07-22,120247490699100278,[AFS] [F3] [NALEDI MOLEFE] V5,120247490644850278,3,3,3,0,9,0.07,0,0
2026-07-22,120247490703500278,,,0,0,0,0,3,0.00,0,0
2026-07-22,120247506168140278,[AFS] [F3] [BONGEKILE ZUNGU] V1,120247506168050278,13,13,10,9,39,1.15,0,0
2026-07-22,120247506197150278,[AFS] [F3] [BONGEKILE ZUNGU] V2,120247506168050278,15,15,13,7,51,1.29,0,0
2026-07-22,120247506203840278,[AFS] [F3] [BONGEKILE ZUNGU] V3,120247506168050278,23,23,18,12,75,1.98,0,0
2026-07-22,120247506216350278,[AFS] [F3] [BONGEKILE ZUNGU] V4,120247506168050278,14,14,12,5,42,1.17,0,0
2026-07-22,120247506238310278,[AFS] [F3] [BONGEKILE ZUNGU] V5,120247506168050278,18,18,16,8,60,1.43,0,0
2026-07-22,120247506249690278,[AFS] [F3] [BONGEKILE ZUNGU] V6,120247506168050278,22,22,19,7,66,1.36,0,0
2026-07-22,120247506424250278,[AFS] [F3] [MBALI BUTHELEZI] V1,120247506424170278,30,30,28,23,99,3.55,0,0
2026-07-22,120247506530130278,[AFS] [F3] [MBALI BUTHELEZI] V2,120247506424170278,18,18,17,16,63,1.83,0,0
2026-07-22,120247506542160278,[AFS] [F3] [MBALI BUTHELEZI] V3,120247506424170278,20,20,20,14,60,3.41,0,0
