data,adset_id,campaign_id,receita_gam_bruta,receita_gam_liquida,impressoes_gam,cliques_gam,ecpm_gam
2026-07-22,120247506530130278,120247506424170278,2.07,1.86,25,4,82.76
2026-07-22,120247506542160278,120247506424170278,0.73,0.66,15,2,48.53
2026-07-22,120247506551600278,120247506424170278,0.04,0.04,4,0,10.05
2026-07-22,120247506560570278,120247506424170278,1.95,1.76,53,5,36.87
2026-07-22,120247506567820278,120247506424170278,0.21,0.19,5,1,42.66
2026-07-22,120247510472600278,120247510472480278,1.03,0.93,22,2,46.79
2026-07-22,120247511200720278,120247510472480278,3.2,2.88,35,4,91.47
2026-07-22,120247511268740278,120247510472480278,1.08,0.98,9,1,120.39
2026-07-22,120247511278660278,120247510472480278,0.14,0.13,2,0,70.05
2026-07-22,120247511285940278,120247510472480278,0,0,1,0,1.8
2026-07-22,120247511291500278,120247510472480278,0.28,0.26,9,2,31.51
2026-07-22,120247511324670278,120247511324690278,0.04,0.03,8,0,4.8
2026-07-22,120247511427740278,120247511324690278,0.86,0.78,12,1,71.82
2026-07-22,120247511436300278,120247511324690278,0.82,0.73,10,2,81.58
2026-07-22,120247511443330278,120247511324690278,1.56,1.4,44,8,35.43
2026-07-22,120247511457850278,120247511324690278,0.01,0.01,2,0,3.3
2026-07-22,120247511563030278,120247511492330278,1.34,1.21,9,0,148.93
2026-07-22,120247511574100278,120247511492330278,1.02,0.92,36,1,28.38
2026-07-22,120247511580070278,120247511492330278,0.18,0.16,6,1,29.75
2026-07-22,120247511592870278,120247511492330278,0.17,0.15,8,1,21.13
2026-07-22,120247511637820278,120247511492330278,0.05,0.04,2,0,24.65
2026-07-22,120253057249320281,120253057249230281,1.38,1.24,11,1,125.75
2026-07-22,120253057288510281,120253057249230281,3.91,3.52,51,10,76.67
2026-07-22,120253057293970281,120253057249230281,13.02,11.72,43,11,302.77
2026-07-22,120253057299420281,120253057249230281,3.58,3.22,52,13,68.91
2026-07-22,120253057306490281,120253057249230281,1.37,1.23,32,3,42.71
2026-07-22,120253057315290281,120253057249230281,1.25,1.13,30,8,41.8
2026-07-22,120253057385670281,120253057329110281,1.36,1.22,16,1,84.91
2026-07-22,120253057396940281,120253057329110281,1.63,1.46,29,4,56.09
2026-07-22,120253057400840281,120253057329110281,3.33,3,54,7,61.64
2026-07-22,120253057404980281,120253057329110281,9.39,8.46,60,10,156.58
2026-07-22,120253057408300281,120253057329110281,2.94,2.65,38,7,77.37
2026-07-22,120253057415450281,120253057415460281,2.12,1.91,35,4,60.59
2026-07-22,120253057444620281,120253057415460281,2.82,2.54,50,8,56.39
2026-07-22,120253057454260281,120253057415460281,6.1,5.49,62,15,98.39
2026-07-22,120253057457110281,120253057415460281,6.93,6.24,90,17,76.98
2026-07-22,120253057459930281,120253057415460281,5.45,4.9,83,13,65.66
2026-07-22,120253057464720281,120253057415460281,0.09,0.08,9,0,9.82
2026-07-22,120253057479010281,120253057478930281,0.27,0.24,17,1,15.66
2026-07-22,120253057510640281,120253057478930281,0.4,0.36,16,3,25.24
2026-07-22,120253057512790281,120253057478930281,1.77,1.59,23,3,76.87
2026-07-22,120253057515110281,120253057478930281,1.28,1.15,23,5,55.73
2026-07-22,120253057519430281,120253057478930281,0.3,0.27,5,0,60.96
2026-07-22,120253057522840281,120253057478930281,1.16,1.04,21,1,55.21
2026-07-22,120253079044420281,120253079044410281,2.99,2.69,41,6,72.98
2026-07-22,120253079114620281,120253079044410281,0.87,0.78,18,2,48.25
2026-07-22,120253079117950281,120253079044410281,1.64,1.48,40,7,41
2026-07-22,120253079128080281,120253079044410281,5.39,4.86,74,9,72.9
2026-07-22,120253079132510281,120253079044410281,1.21,1.09,26,8,46.37
2026-07-22,120253082530860281,120253082530810281,3.83,3.45,40,6,95.87
2026-07-22,120253082684680281,120253082530810281,5.38,4.85,34,4,158.36
2026-07-22,120253082723400281,120253082530810281,10.37,9.33,174,26,59.59
2026-07-22,120253082732550281,120253082530810281,1.63,1.47,36,2,45.22
2026-07-22,120253082737930281,120253082530810281,6.53,5.88,69,12,94.68
2026-07-22,120253082741790281,120253082530810281,14.76,13.28,156,29,94.59
2026-07-22,120253082817280281,120253082817170281,2.23,2.01,60,6,37.17
2026-07-22,120253082840560281,120253082817170281,7.03,6.32,62,15,113.33
2026-07-22,120253082846410281,120253082817170281,1,0.9,19,5,52.41
2026-07-22,120253082849840281,120253082817170281,5.28,4.75,61,17,86.6
2026-07-22,120253082852390281,120253082817170281,2.6,2.34,43,7,60.56
2026-07-22,120253082855810281,120253082817170281,1.42,1.28,46,7,30.91
2026-07-22,120253100996160281,120253100917260281,0,0,1,0,0.9
2026-07-22,120253101016690281,120253101016570281,4.8,4.32,104,18,46.17
2026-07-22,120253101032080281,120253101016570281,0.37,0.33,11,2,33.43
2026-07-22,120253101033490281,120253101016570281,0.41,0.37,8,0,51.24
2026-07-22,120253101035060281,120253101016570281,2.6,2.34,40,7,64.94
2026-07-22,120253101038430281,120253101016570281,1.33,1.2,18,4,73.82
2026-07-22,120253101044980281,120253101016570281,1.3,1.17,28,3,46.29
2026-07-22,120253101069070281,120253101068990281,2.79,2.51,28,5,99.8
2026-07-22,120253101091190281,120253101068990281,0.44,0.39,16,3,27.4
2026-07-22,120253101093050281,120253101068990281,0,0,1,0,3.5
2026-07-22,120253101094910281,120253101068990281,0.24,0.21,6,2,39.73
2026-07-22,120253101270940281,120253101270850281,3.27,2.95,81,7,40.41
2026-07-22,120253101284450281,120253101270850281,7.55,6.8,132,17,57.22
2026-07-22,120253101286320281,120253101270850281,1.34,1.2,18,3,74.33
2026-07-22,120253101288330281,120253101270850281,4.36,3.92,88,14,49.51
2026-07-22,120253101296180281,120253101270850281,1.55,1.4,25,3,62.2
2026-07-22,120253101303050281,120253101302970281,8.96,8.06,169,28,53.02
2026-07-22,120253101316180281,120253101302970281,9.18,8.26,78,22,117.7
2026-07-22,120253101319060281,120253101302970281,2.2,1.98,23,4,95.62
2026-07-22,120253101321190281,120253101302970281,3.11,2.8,83,11,37.42
2026-07-22,120253101322290281,120253101302970281,3.95,3.56,52,4,75.97
2026-07-22,120253101330930281,120253101330870281,7.2,6.48,92,16,78.26
2026-07-22,120253101343520281,120253101330870281,1.37,1.23,11,0,124.24
2026-07-22,120253101346700281,120253101330870281,7.32,6.59,105,18,69.71
2026-07-22,120253101348250281,120253101330870281,4.57,4.11,65,14,70.28
2026-07-22,120253101349160281,120253101330870281,3.92,3.53,62,9,63.25
2026-07-22,120253101349570281,120253101330870281,8.28,7.46,99,18,83.68
2026-07-22,120253136735850281,120253136735780281,1.67,1.5,19,3,87.89
2026-07-22,120253136853570281,120253136735780281,8.76,7.89,85,18,103.11
2026-07-22,120253136864150281,120253136735780281,0.29,0.26,8,3,35.75
2026-07-22,120253136874720281,120253136735780281,1.55,1.39,28,4,55.28
2026-07-22,120253136880620281,120253136735780281,0.91,0.82,21,5,43.12
2026-07-22,120253136890790281,120253136735780281,3.77,3.39,42,9,89.72
2026-07-22,120253137096490281,120253137096420281,1.15,1.03,13,3,88.45
2026-07-22,120253137141160281,120253137096420281,0.44,0.4,16,1,27.66
2026-07-22,120253137147810281,120253137096420281,4.9,4.41,71,19,68.98
2026-07-22,120253137153070281,120253137096420281,4.69,4.22,87,6,53.89
2026-07-22,120253137159570281,120253137096420281,4.66,4.2,70,14,66.64
2026-07-22,120253137172840281,120253137172780281,2.47,2.22,47,5,52.59
2026-07-22,120253137204850281,120253137172780281,9.65,8.68,151,27,63.9
2026-07-22,120253137209500281,120253137172780281,14.08,12.67,203,48,69.37
2026-07-22,120253137215430281,120253137172780281,1.28,1.15,47,1,27.23
2026-07-22,120253137221200281,120253137172780281,4.34,3.9,23,3,188.52
2026-07-22,120253137226520281,120253137172780281,6.18,5.56,77,13,80.21
2026-07-22,120253138463570281,120253138463510281,2.69,2.43,46,6,58.58
2026-07-22,120253138571220281,120253138463510281,8.13,7.32,112,17,72.6
2026-07-22,120253138575670281,120253138463510281,0.95,0.86,15,2,63.61
2026-07-22,120253138581950281,120253138463510281,2.23,2.01,37,5,60.25
2026-07-22,120253138584190281,120253138463510281,6.96,6.26,63,5,110.49
2026-07-22,120253138587130281,120253138463510281,2.11,1.9,29,5,72.76
2026-07-22,120253138672320281,120253138672250281,3.36,3.02,52,6,64.63
2026-07-22,120253138733630281,120253138672250281,2.35,2.11,64,4,36.71
2026-07-22,120253138736470281,120253138672250281,1.43,1.29,21,1,68.26
2026-07-22,120253138745550281,120253138672250281,3.66,3.3,34,8,107.74
2026-07-22,120253138749420281,120253138672250281,1.67,1.5,36,4,46.33
2026-07-22,120253138753460281,120253138672250281,2.72,2.45,40,5,68.1
2026-07-22,120253138766290281,120253138766230281,4.9,4.41,67,10,73.18
2026-07-22,120253138878630281,120253138766230281,1.3,1.17,19,2,68.66
2026-07-22,120253138906100281,120253138766230281,2.91,2.62,68,15,42.81
2026-07-22,120253138919620281,120253138766230281,4.57,4.11,60,6,76.19
2026-07-22,120253138933900281,120253138766230281,9.16,8.24,173,23,52.95
2026-07-22,120253138944340281,120253138766230281,2.41,2.17,27,3,89.44
2026-07-22,120253141376140281,120253141376060281,1.51,1.36,28,6,53.83
2026-07-22,120253141499830281,120253141376060281,12.94,11.65,157,28,82.43
2026-07-22,120253141501720281,120253141376060281,3.05,2.74,51,9,59.74
2026-07-22,120253141502670281,120253141376060281,8.5,7.65,147,32,57.8
2026-07-22,120253141504530281,120253141376060281,7.38,6.64,73,16,101.09
2026-07-22,120253141509190281,120253141376060281,4.4,3.96,75,10,58.65
2026-07-22,120253141635530281,120253141635460281,8.18,7.36,151,21,54.19
2026-07-22,120253141724210281,120253141635460281,2.2,1.98,22,3,100.19
2026-07-22,120253141733960281,120253141635460281,1.64,1.47,26,2,62.93
2026-07-22,120253141747920281,120253141635460281,11.99,10.79,175,26,68.54
2026-07-22,120253141780200281,120253141635460281,5.76,5.19,81,11,71.15
2026-07-22,120253141807020281,120253141635460281,1.83,1.65,60,3,30.52
2026-07-22,120253141863660281,120253141863550281,7.45,6.71,110,17,67.77
2026-07-22,120253141934410281,120253141863550281,5.14,4.63,76,17,67.63
2026-07-22,120253141937270281,120253141863550281,3.54,3.19,46,5,76.95
2026-07-22,120253141941400281,120253141863550281,2.7,2.43,52,10,51.85
2026-07-22,120253141945370281,120253141863550281,6.45,5.8,104,16,62
2026-07-22,120253141950760281,120253141863550281,9.39,8.45,90,12,104.33
2026-07-22,120253141970000281,120253141969930281,3.09,2.78,27,6,114.41
2026-07-22,120253142005590281,120253141969930281,0.44,0.39,10,2,43.86
2026-07-22,120253142011070281,120253141969930281,3.65,3.28,79,16,46.15
2026-07-22,120253142016080281,120253141969930281,2.46,2.21,32,7,76.74
2026-07-22,120253142027880281,120253141969930281,4.96,4.47,104,10,47.71
2026-07-22,120253142036410281,120253141969930281,1.63,1.47,35,4,46.68
2026-07-22,120253142123880281,120253142123820281,0.95,0.86,19,5,50.1
2026-07-22,120253142282790281,120253142123820281,3.98,3.59,44,7,90.54
2026-07-22,120253142290360281,120253142123820281,1.11,1,23,1,48.18
2026-07-22,120253142297110281,120253142123820281,5.47,4.92,59,11,92.74
2026-07-22,120253142301540281,120253142123820281,3.81,3.43,79,16,48.28
2026-07-22,120253142306480281,120253142123820281,2.06,1.85,38,6,54.08
2026-07-22,120253167383880281,120253167383820281,2.67,2.4,60,3,44.52
2026-07-22,120253167420410281,120253167383820281,2.4,2.16,29,6,82.66
2026-07-22,120253167424590281,120253167383820281,0.92,0.83,19,1,48.36
2026-07-22,120253167426990281,120253167383820281,3.81,3.42,74,8,51.42
2026-07-22,120253167433710281,120253167383820281,0.68,0.61,8,2,84.42
2026-07-22,120253167436950281,120253167383820281,1.12,1.01,15,4,74.67
2026-07-22,120253167453190281,120253167453110281,1.56,1.41,38,6,41.11
2026-07-22,120253167657030281,120253167453110281,2.68,2.41,71,8,37.73
2026-07-22,120253167666800281,120253167453110281,0.6,0.54,18,2,33.28
2026-07-22,120253167671240281,120253167453110281,1.02,0.91,15,1,67.71
2026-07-22,120253167676340281,120253167453110281,2.87,2.59,79,9,36.36
2026-07-22,120253167681590281,120253167453110281,1.86,1.67,35,2,53.17
2026-07-22,120253167773150281,120253167773160281,0,0,1,0,2.9
2026-07-22,120253167944440281,120253167773160281,4.64,4.18,48,10,96.74
2026-07-22,120253167947120281,120253167773160281,2.43,2.19,28,5,86.91
2026-07-22,120253167949790281,120253167773160281,2.98,2.69,40,9,74.6
2026-07-22,120253167954350281,120253167773160281,0,0,1,0,1.3
2026-07-22,120253167956510281,120253167773160281,2.01,1.81,14,3,143.86
2026-07-22,120253168223720281,120253168223660281,0.55,0.5,13,2,42.61
2026-07-22,120253168272260281,120253168223660281,0.19,0.17,10,1,18.85
2026-07-22,120253168276010281,120253168223660281,0.11,0.09,8,0,13.16
2026-07-22,120253168279700281,120253168223660281,1.74,1.57,20,2,87.07
2026-07-22,120253168282030281,120253168223660281,7.91,7.12,73,20,108.36
2026-07-22,120253168285770281,120253168223660281,3.32,2.99,63,11,52.72
2026-07-22,120253168354310281,120253168354220281,0.08,0.07,3,0,26.47
2026-07-22,120253168393840281,120253168354220281,1.89,1.7,17,3,111.28
2026-07-22,120253168397070281,120253168354220281,3.39,3.05,33,7,102.81
2026-07-22,120253168399990281,120253168354220281,1.84,1.66,66,4,27.92
2026-07-22,120253168402020281,120253168354220281,3.43,3.09,19,8,180.69
2026-07-22,120253168407870281,120253168354220281,0.55,0.49,10,1,54.54
2026-07-22,120253168447900281,120253168447820281,10.91,9.82,61,11,178.84
2026-07-22,120253168472750281,120253168447820281,0.61,0.55,11,3,55.71
2026-07-22,120253168474870281,120253168447820281,4.15,3.73,33,6,125.68
2026-07-22,120253168478000281,120253168447820281,0,0,1,0,2.2
2026-07-22,120253168484450281,120253168447820281,0.57,0.51,12,3,47.65
2026-07-22,120253168488310281,120253168447820281,2.33,2.1,16,4,145.85
2026-07-23,120247357080930278,120247357080990278,4.96,4.46,69,19,71.83
2026-07-23,120247357080980278,120247357080990278,4.24,3.81,45,5,94.16
2026-07-23,120247357081010278,120247357080990278,4.08,3.67,74,10,55.08
2026-07-23,120247357081030278,120247357080990278,2.78,2.5,27,7,102.89
2026-07-23,120247357081040278,120247357080990278,2.28,2.05,51,10,44.74
2026-07-23,120247357081050278,120247357080990278,2.02,1.82,17,6,118.98
2026-07-23,120247357457050278,120247357456980278,9.36,8.42,110,17,85.08
2026-07-23,120247357457060278,120247357456980278,4.4,3.96,54,12,81.49
2026-07-23,120247357457070278,120247357456980278,3.62,3.26,41,8,88.35
2026-07-23,120247357457080278,120247357456980278,2.37,2.14,34,5,69.83
2026-07-23,120247357457090278,120247357456980278,5.98,5.38,133,17,44.97
2026-07-23,120247357457100278,120247357456980278,5.28,4.75,62,10,85.12
2026-07-23,120247358420040278,120247358419970278,2.21,1.99,60,9,36.78
2026-07-23,120247358420050278,120247358419970278,1.4,1.26,24,2,58.38
2026-07-23,120247358420060278,120247358419970278,4.94,4.44,82,15,60.22
2026-07-23,120247358420070278,120247358419970278,0.95,0.85,26,4,36.41
2026-07-23,120247358420080278,120247358419970278,1.36,1.22,52,7,26.11
2026-07-23,120247358420090278,120247358419970278,1.66,1.49,35,3,47.34
2026-07-23,120247358791290278,120247358791270278,2.36,2.12,43,8,54.87
2026-07-23,120247358791350278,120247358791270278,2.66,2.39,51,8,52.17
2026-07-23,120247358791360278,120247358791270278,1.99,1.79,36,2,55.26
2026-07-23,120247358791370278,120247358791270278,0.62,0.56,16,2,38.72
2026-07-23,120247358791380278,120247358791270278,0.02,0.01,1,0,16
2026-07-23,120247358791390278,120247358791270278,0.42,0.38,20,5,21
2026-07-23,120247359464720278,120247359464690278,2.51,2.26,44,7,57.05
2026-07-23,120247359464770278,120247359464690278,2.27,2.04,50,9,45.44
2026-07-23,120247359464780278,120247359464690278,2.44,2.2,40,9,60.98
2026-07-23,120247359464790278,120247359464690278,2.82,2.54,46,4,61.38
2026-07-23,120247359464800278,120247359464690278,0.9,0.81,16,2,56.55
2026-07-23,120247359464810278,120247359464690278,0.1,0.09,6,1,16.4
2026-07-23,120247360141400278,120247360141370278,3.31,2.98,27,4,122.65
2026-07-23,120247360141410278,120247360141370278,7.22,6.49,102,29,70.75
