data,conta,campaign_id,campaign_name,adset_id,adset_name,gasto,impressoes_meta,alcance,frequencia,cpm,cliques_link,ctr_link,cpc_link,conversas,custo_conversa,status_atual,orcamento_diario_atual,leads_entrada,cliques_ad,threads,leads_qualificados,leads_avaliados,receita_estimada_brl,sessoes,leads_com_sessao,gap_clique_sessao,pct_chegada_blog,sessoes_por_lead,taxa_qualificacao,receita_gam_bruta,receita_gam_liquida,impressoes_gam,cliques_gam,ecpm_gam
2026-07-22,C 01,120247357456980278,[E1] [MKUKER] [AFS] [F3] [ZOLA DLAMINI] [ISABELA RIBEIRO],120247357457100278,[AFS] [F3] [ZOLA DLAMINI] V1,0.96,601,589,1.0204,1.6,51,8.4859,0.0188,67,0.0143,PAUSED,1,44,44,38,46,132,2.77,0,0,44,0,,34.8,5.98,5.38,126,25,47.43
2026-07-22,C 01,120247358419970278,[E1] [MKUKER] [AFS] [F3] [AMINATA DIALLO] [ISABELA RIBEIRO],120247358420040278,[AFS] [F3] [AMINATA DIALLO] V6,0.95,725,710,1.0211,1.31,124,17.1034,0.0077,93,0.0102,PAUSED,1,38,38,36,41,117,3.33,0,0,38,0,,35,14.01,12.61,82,11,170.86
2026-07-22,C 01,120247358419970278,[E1] [MKUKER] [AFS] [F3] [AMINATA DIALLO] [ISABELA RIBEIRO],120247358420050278,[AFS] [F3] [AMINATA DIALLO] V4,0.92,756,746,1.0134,1.22,39,5.1587,0.0236,42,0.0219,PAUSED,1,15,15,15,24,51,1.66,0,0,15,0,,47.1,1.18,1.06,27,2,43.6
2026-07-22,C 01,120247358419970278,[E1] [MKUKER] [AFS] [F3] [AMINATA DIALLO] [ISABELA RIBEIRO],120247358420060278,[AFS] [F3] [AMINATA DIALLO] V5,0.98,622,617,1.0081,1.58,81,13.0225,0.0121,90,0.0109,PAUSED,1,40,40,38,42,129,5.17,0,0,40,0,,32.6,7.51,6.76,132,26,56.86
2026-07-22,C 01,120247358419970278,[E1] [MKUKER] [AFS] [F3] [AMINATA DIALLO] [ISABELA RIBEIRO],120247358420070278,[AFS] [F3] [AMINATA DIALLO] V3,0.97,798,775,1.0297,1.22,71,8.8972,0.0137,75,0.0129,PAUSED,1,34,34,34,42,102,4.37,0,0,34,0,,41.2,7.02,6.31,106,14,66.18
2026-07-22,C 01,120247358419970278,[E1] [MKUKER] [AFS] [F3] [AMINATA DIALLO] [ISABELA RIBEIRO],120247358420080278,[AFS] [F3] [AMINATA DIALLO] V2,0.97,650,635,1.0236,1.49,66,10.1538,0.0147,58,0.0167,PAUSED,1,28,28,27,29,78,2.24,0,0,28,0,,37.2,5.11,4.6,86,13,59.38
2026-07-22,C 01,120247358419970278,[E1] [MKUKER] [AFS] [F3] [AMINATA DIALLO] [ISABELA RIBEIRO],120247358420090278,[AFS] [F3] [AMINATA DIALLO] V1,0.95,622,619,1.0048,1.53,48,7.717,0.0198,64,0.0148,PAUSED,1,35,35,28,27,102,4.96,0,0,35,0,,26.5,5.28,4.76,84,20,62.9
2026-07-22,C 01,120247358791270278,[E1] [MKUKER] [AFS] [F3] [FOLASADE ADEYEMI] [ISABELA RIBEIRO],120247358791290278,[AFS] [F3] [FOLASADE ADEYEMI] V5,1.02,1162,1155,1.0061,0.88,58,4.9914,0.0176,60,0.017,PAUSED,1,35,35,31,38,105,3.23,0,0,35,0,,36.2,5.47,4.92,82,8,66.67
2026-07-22,C 01,120247358791270278,[E1] [MKUKER] [AFS] [F3] [FOLASADE ADEYEMI] [ISABELA RIBEIRO],120247358791350278,[AFS] [F3] [FOLASADE ADEYEMI] V6,1.01,686,681,1.0073,1.47,85,12.3907,0.0119,65,0.0155,PAUSED,1,35,35,30,24,108,2.31,0,0,35,0,,22.2,1.93,1.74,46,3,42
2026-07-22,C 01,120247358791270278,[E1] [MKUKER] [AFS] [F3] [FOLASADE ADEYEMI] [ISABELA RIBEIRO],120247358791360278,[AFS] [F3] [FOLASADE ADEYEMI] V4,0.96,582,569,1.0228,1.65,45,7.732,0.0213,47,0.0204,PAUSED,1,25,25,24,13,75,2.11,0,0,25,0,,17.3,2.95,2.65,56,9,52.64
